id	stage	donor	mode
V0A1	V0	P1	A
V0A10	V0	P10	A
V0A11	V0	P11	A
V0A15	V0	P15	A
V0A17	V0	P17	A
V0A19	V0	P19	A
V0A23	V0	P23	A
V0A24	V0	P24	A
V0A29	V0	P29	A
V0A32	V0	P32	A
V0A36	V0	P36	A
V0A38	V0	P38	A
V0A40	V0	P40	A
V0A42	V0	P42	A
V0A44	V0	P44	A
V0A47	V0	P47	A
V0A51	V0	P51	A
V0A52	V0	P52	A
V0A53	V0	P53	A
V0A64	V0	P64	A
V0A68	V0	P68	A
V0A69	V0	P69	A
V0A72	V0	P72	A
V0A73	V0	P73	A
V0A79	V0	P79	A
V1A1	V1	P1	A
V1A10	V1	P10	A
V1A11	V1	P11	A
V1A15	V1	P15	A
V1A17	V1	P17	A
V1A19	V1	P19	A
V1A23	V1	P23	A
V1A24	V1	P24	A
V1A29	V1	P29	A
V1A32	V1	P32	A
V1A36	V1	P36	A
V1A38	V1	P38	A
V1A40	V1	P40	A
V1A42	V1	P42	A
V1A44	V1	P44	A
V1A47	V1	P47	A
V1A51	V1	P51	A
V1A52	V1	P52	A
V1A53	V1	P53	A
V1A64	V1	P64	A
V1A68	V1	P68	A
V1A69	V1	P69	A
V1A72	V1	P72	A
V1A73	V1	P73	A
V1A79	V1	P79	A
V0B12	V0	P12	B
V0B14	V0	P14	B
V0B27	V0	P27	B
V0B33	V0	P33	B
V0B34	V0	P34	B
V0B39	V0	P39	B
V0B41	V0	P41	B
V0B5	V0	P5	B
V0B7	V0	P7	B
V0B9	V0	P9	B
V0B48	V0	P48	B
V0B50	V0	P50	B
V0B54	V0	P54	B
V0B56	V0	P56	B
V0B58	V0	P58	B
V0B59	V0	P59	B
V0B61	V0	P61	B
V0B63	V0	P63	B
V0B65	V0	P65	B
V0B67	V0	P67	B
V0B70	V0	P70	B
V0B74	V0	P74	B
V0B75	V0	P75	B
V0B77	V0	P77	B
V0B80	V0	P80	B
V1B12	V1	P12	B
V1B14	V1	P14	B
V1B27	V1	P27	B
V1B33	V1	P33	B
V1B34	V1	P34	B
V1B39	V1	P39	B
V1B41	V1	P41	B
V1B5	V1	P5	B
V1B7	V1	P7	B
V1B9	V1	P9	B
V1B48	V1	P48	B
V1B50	V1	P50	B
V1B54	V1	P54	B
V1B56	V1	P56	B
V1B58	V1	P58	B
V1B59	V1	P59	B
V1B61	V1	P61	B
V1B63	V1	P63	B
V1B65	V1	P65	B
V1B67	V1	P67	B
V1B70	V1	P70	B
V1B74	V1	P74	B
V1B75	V1	P75	B
V1B77	V1	P77	B
V1B80	V1	P80	B
