metabolite,coefficient,abs_coefficient
Inosine,-0.2245202763946715,0.2245202763946715
"Tris(2,4-di-tert-butylphenyl)phosphate",-0.11862135271114425,0.11862135271114425
Glycolithocholic acid 3-sulfate,0.08932466313616444,0.08932466313616444
5-Methylcytosine,0.07569709185772833,0.07569709185772833
12-Hydroxystearic acid,0.07477514169034398,0.07477514169034398
Levulinic acid,0.06859159268848922,0.06859159268848922
3-Oxocholic acid,0.066021392550152,0.066021392550152
Isoleucine,0.06353987187953096,0.06353987187953096
beta-Alanine,-0.062796509058877,0.062796509058877
2-oxindole-3-acetate,-0.05687687587901909,0.05687687587901909
2-Aminoisobutyric acid,0.052379542732310325,0.052379542732310325
Methyl beta-D-Galactopyranoside,-0.05172302943171798,0.05172302943171798
Anserine,0.049372067202409255,0.049372067202409255
N-Acetylmuramic acid,-0.04912357325921208,0.04912357325921208
N-Acetylhistamine,-0.048588064770700976,0.048588064770700976
Cholic acid,0.04767518042265237,0.04767518042265237
LacCer(d18:1/16:0),-0.0453830417584213,0.0453830417584213
Deoxycholic acid,-0.04418112408364229,0.04418112408364229
Hesperetin 7-neohesperidoside,-0.04390066554263733,0.04390066554263733
Dauricine,-0.04242280479559694,0.04242280479559694
Clopidogrel carboxylic acid,0.041252789600011525,0.041252789600011525
Azelaic acid,0.03990515404941257,0.03990515404941257
Cholenate,-0.039556335672150014,0.039556335672150014
Pyridoxamine,0.03940626272662998,0.03940626272662998
Hypoxanthine,-0.03794214709679222,0.03794214709679222
Cyclamic acid,0.03752873075770621,0.03752873075770621
Saccharin,0.03441929232014755,0.03441929232014755
3-Methylthiopropionic acid,-0.03389380085418337,0.03389380085418337
Hypaphorine,-0.03319006226367774,0.03319006226367774
Val-Ile,-0.03290467817496509,0.03290467817496509
Glycocholic acid,0.03171522457081027,0.03171522457081027
Adenine,0.031649298067057755,0.031649298067057755
Neferine,-0.029786934924549608,0.029786934924549608
Glutamine,-0.028207940807348127,0.028207940807348127
Octadecanedioic acid,-0.028111145786180132,0.028111145786180132
"1,5-Isoquinolinediol",-0.024203241936486757,0.024203241936486757
2-Piperidone,-0.02322483357047394,0.02322483357047394
Car(18:1),-0.023059646210530072,0.023059646210530072
Leucine,0.022868067382687478,0.022868067382687478
Oleic acid,0.022723245536289717,0.022723245536289717
Nonaethylene glycol,0.022647284888304576,0.022647284888304576
Duroquinone,0.020780515396532792,0.020780515396532792
Trigonelline,-0.02043478855867189,0.02043478855867189
Stachydrine,0.019513046849044834,0.019513046849044834
Dehydrolithocholic acid,-0.01879716920562808,0.01879716920562808
Glycolate,-0.018426183479487674,0.018426183479487674
Carnitine,0.018342731606358756,0.018342731606358756
